annotation_id,condition,gold_status,gold_icd9_code,gold_icd9_label,annotation_note,evaluation_scope,gold_link_status,in_current_extraction,entity_type
ICD-000,polmonite bilaterale,code,486,"Polmonite, organismo non specificato","Bilateral pneumonia is mapped to 486.0 (pneumonia, unspecified organism); no etiology is stated in the source.",term_level_linking_and_nil_detection,codable,True,diagnosi
ICD-001,disfunzione ventricolare sinistra,insufficient_context,,,Left-ventricular dysfunction is left NIL because its type and etiology are not specified.,term_level_linking_and_nil_detection,not_codable,True,diagnosi
ICD-002,miocardite,code,429.0,"Miocardite, non specificata","Myocarditis is mapped to 429.0 (myocarditis, unspecified); no specific etiology is stated.",term_level_linking_and_nil_detection,codable,True,diagnosi
ICD-003,carcinoma vescicale,code,188.9,"Tumore maligno della vescica, parte non specificata","Bladder carcinoma is mapped to 188.9 (malignant neoplasm of the bladder, unspecified); in-situ status is not established.",term_level_linking_and_nil_detection,codable,True,diagnosi
ICD-004,colangie biliare primitiva,code,571.6,Cirrosi biliare / colangite biliare primitiva,Primary biliary cholangitis is mapped to 571.6 (biliary cirrhosis / primary biliary cholangitis).,term_level_linking_and_nil_detection,codable,False,
ICD-005,dolorabilita osteoarticolare,not_codable_as_diagnosis,,,"Osteoarticular tenderness is a symptom, not a diagnosis, so it is left NIL.",term_level_linking_and_nil_detection,not_codable,True,sintomo
ICD-006,ipoacusia bilaterale,code,389.9,Ipoacusia non specificata,Bilateral hearing loss is mapped to 389.9 (unspecified hearing loss).,term_level_linking_and_nil_detection,codable,True,sintomo
ICD-007,ostruttiva severa bivasale,insufficient_fragment,,,"This fragment lacks the diagnostic head and cannot be coded reliably in isolation, so it is left NIL.",term_level_linking_and_nil_detection,not_codable,False,
ICD-008,difetto atrioventricolare parziale,code,745.6,Difetto del cuscinetto endocardico / difetto atrioventricolare,Partial atrioventricular (endocardial-cushion) defect is mapped to 745.6.,term_level_linking_and_nil_detection,codable,True,diagnosi
ICD-009,celiaca,code,579.0,Malattia celiaca,ICD-9-CM 579.0 represents celiac disease.,term_level_linking_and_nil_detection,codable,False,
ICD-010,malacia tracheobronchiale,code,519.19,Altre malattie della trachea e dei bronchi,"Tracheobronchomalacia is mapped to 519.19 (other diseases of trachea and bronchi), the closest available category.",term_level_linking_and_nil_detection,codable,True,diagnosi
ICD-011,scompenso cardiaco acuto de novo,code,428.0,Insufficienza cardiaca congestizia,Acute de-novo heart failure is mapped to the broad 428.0 (congestive heart failure); ICD-9 does not preserve the acuity detail.,term_level_linking_and_nil_detection,codable,True,diagnosi
